date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;source_donnees
19/05/1976;31;15;33;27;36;9;ancien_format
03/06/1976;10;26;42;1;4;5;ancien_format
10/06/1976;44;16;47;10;15;2;ancien_format
16/06/1976;2;3;35;13;1;9;ancien_format
23/06/1976;30;22;11;9;23;8;ancien_format
30/06/1976;10;17;25;35;5;7;ancien_format
07/07/1976;27;32;34;19;45;6;ancien_format
15/07/1976;42;5;29;28;27;2;ancien_format
21/07/1976;15;2;31;19;27;4;ancien_format
28/07/1976;40;49;16;37;35;1;ancien_format
05/08/1976;47;37;25;6;4;6;ancien_format
11/08/1976;8;42;33;31;17;10;ancien_format
18/08/1976;21;9;3;24;34;2;ancien_format
25/08/1976;32;11;7;8;38;5;ancien_format
01/09/1976;27;33;42;8;26;7;ancien_format
08/09/1976;25;30;22;3;38;8;ancien_format
15/09/1976;27;7;39;3;8;4;ancien_format
22/09/1976;35;24;10;36;9;3;ancien_format
29/09/1976;7;15;11;8;35;5;ancien_format
06/10/1976;47;30;38;6;26;6;ancien_format
13/10/1976;36;19;46;2;20;7;ancien_format
20/10/1976;20;26;14;48;33;4;ancien_format
27/10/1976;43;5;40;13;17;6;ancien_format
04/11/1976;46;40;30;9;33;9;ancien_format
10/11/1976;17;3;41;38;30;7;ancien_format
17/11/1976;2;32;44;45;20;9;ancien_format
24/11/1976;20;19;25;5;12;4;ancien_format
01/12/1976;18;26;16;22;28;8;ancien_format
08/12/1976;38;31;12;49;7;7;ancien_format
15/12/1976;26;45;19;9;39;3;ancien_format
22/12/1976;20;36;3;7;1;6;ancien_format
29/12/1976;9;12;32;24;47;9;ancien_format
05/01/1977;36;26;1;34;32;1;ancien_format
12/01/1977;16;15;17;31;8;4;ancien_format
19/01/1977;41;33;2;14;45;10;ancien_format
26/01/1977;21;7;45;12;9;3;ancien_format
02/02/1977;25;23;5;1;41;3;ancien_format
09/02/1977;11;40;28;22;1;6;ancien_format
16/02/1977;11;44;13;37;31;9;ancien_format
23/02/1977;42;43;25;22;34;5;ancien_format
02/03/1977;26;27;6;22;33;1;ancien_format
09/03/1977;3;28;4;9;46;5;ancien_format
16/03/1977;40;21;20;45;44;3;ancien_format
23/03/1977;14;20;22;40;17;9;ancien_format
30/03/1977;19;10;40;41;43;6;ancien_format
06/04/1977;33;18;7;8;25;9;ancien_format
14/04/1977;41;28;26;3;16;8;ancien_format
20/04/1977;30;17;35;7;9;10;ancien_format
27/04/1977;6;30;29;28;44;7;ancien_format
04/05/1977;29;36;49;38;34;2;ancien_format
11/05/1977;28;10;1;23;9;9;ancien_format
18/05/1977;7;20;4;19;44;3;ancien_format
25/05/1977;44;38;20;31;22;3;ancien_format
01/06/1977;32;38;15;2;18;2;ancien_format
08/06/1977;24;43;31;21;37;4;ancien_format
15/06/1977;29;39;8;27;28;2;ancien_format
22/06/1977;42;15;7;19;12;4;ancien_format
29/06/1977;47;38;48;37;1;9;ancien_format
06/07/1977;28;2;37;16;20;2;ancien_format
13/07/1977;44;21;48;36;3;3;ancien_format
20/07/1977;11;7;32;12;30;2;ancien_format
27/07/1977;6;28;48;44;14;5;ancien_format
03/08/1977;23;26;24;18;15;8;ancien_format
10/08/1977;31;30;47;15;45;9;ancien_format
18/08/1977;4;10;29;5;32;6;ancien_format
24/08/1977;5;26;9;49;19;10;ancien_format
31/08/1977;43;34;8;49;32;8;ancien_format
07/09/1977;37;7;32;34;27;1;ancien_format
14/09/1977;9;18;17;3;44;6;ancien_format
21/09/1977;15;27;5;3;19;10;ancien_format
28/09/1977;2;4;33;7;38;7;ancien_format
05/10/1977;4;36;49;7;28;3;ancien_format
12/10/1977;47;27;6;5;42;6;ancien_format
19/10/1977;45;6;11;24;12;9;ancien_format
26/10/1977;38;6;25;34;3;5;ancien_format
03/11/1977;31;47;32;4;38;7;ancien_format
09/11/1977;20;42;35;14;19;1;ancien_format
16/11/1977;1;33;20;28;9;9;ancien_format
23/11/1977;3;15;16;2;37;3;ancien_format
30/11/1977;23;21;38;45;48;8;ancien_format
07/12/1977;37;44;20;42;6;8;ancien_format
14/12/1977;30;12;27;38;41;3;ancien_format
21/12/1977;38;9;28;12;19;3;ancien_format
28/12/1977;11;6;35;23;39;7;ancien_format
04/01/1978;7;36;5;12;37;4;ancien_format
11/01/1978;38;45;4;43;17;5;ancien_format
18/01/1978;23;22;33;27;26;6;ancien_format
25/01/1978;36;1;12;34;37;7;ancien_format
01/02/1978;16;2;37;48;7;5;ancien_format
08/02/1978;10;33;27;5;8;2;ancien_format
15/02/1978;40;4;38;39;24;2;ancien_format
22/02/1978;42;5;37;14;31;4;ancien_format
01/03/1978;45;17;18;46;38;2;ancien_format
08/03/1978;41;7;34;16;40;6;ancien_format
15/03/1978;27;14;13;20;12;7;ancien_format
22/03/1978;43;36;31;29;45;3;ancien_format
30/03/1978;28;15;7;4;24;2;ancien_format
05/04/1978;33;27;7;12;35;2;ancien_format
12/04/1978;36;7;31;46;26;9;ancien_format
19/04/1978;49;17;27;42;40;10;ancien_format
26/04/1978;37;45;29;28;24;6;ancien_format
03/05/1978;17;27;19;40;28;1;ancien_format
10/05/1978;5;4;2;29;8;10;ancien_format
18/05/1978;23;45;49;11;20;6;ancien_format
24/05/1978;7;18;46;47;3;7;ancien_format
31/05/1978;49;14;48;10;29;2;ancien_format
07/06/1978;21;1;43;35;13;9;ancien_format
14/06/1978;12;49;40;10;1;7;ancien_format
